Mycobacterium alsense
Mycobacterium alvei
Mycobacterium arosiense
Mycobacterium arupense
Mycobacterium asiaticum
Mycobacterium aubagnense
Mycobacterium avium
Mycobacterium bacteremicum
Mycobacterium boenickei
Mycobacterium bohemicum
Mycobacterium bovis
Mycobacterium branderi
Mycobacterium brisbanense
Mycobacterium canettii
Mycobacterium elephantis
Mycobacterium gadium
Mycobacterium gastri
Mycobacterium goodii
Mycobacterium heraklionense
Mycobacterium intermedium
Mycobacterium intracellulare
Mycobacterium iranicum
Mycobacterium kansasii
Mycobacterium koreense
Mycobacterium lentiflavum
Mycobacterium llatzerense
Mycobacterium longobardum
Mycobacterium mageritense
Mycobacterium malmoense
Mycobacterium mantenii
Mycobacterium marinum
Mycobacterium marseillense
Mycobacterium microti
Mycobacterium monacense
Mycobacterium mucogenicum
Mycobacterium nebraskense
Mycobacterium neoaurum
Mycobacterium nonchromogenicum
Mycobacterium palustre
Mycobacterium paraffinicum
Mycobacterium paragordonae
Mycobacterium parakoreense
Mycobacterium parascrofulaceum
Mycobacterium phocaicum
Mycobacterium porcinum
Mycobacterium poriferae
Mycobacterium rhodesiae
Mycobacterium riyadhense
Mycobacterium senegalense
Mycobacterium septicum
Mycobacterium setense
Mycobacterium sherrisii
Mycobacterium shimoidei
Mycobacterium smegmatis
Mycobacterium szulgai
Mycobacterium terrae
Mycobacterium thermoresistibile
Mycobacterium timonense
Mycobacterium tokaiense
Mycobacterium triplex
Mycobacterium triviale
Mycobacterium tuberculosis
Mycobacterium vulneris
Mycobacterium wolinskyi
Mycolicibacterium smegmatis
Mycoplasma amphoriforme
Mycoplasma arginini
Mycoplasma buccale
Mycoplasma faucium
Mycoplasma felis
Mycoplasma fermentans
Mycoplasma gallisepticum
Mycoplasma genitalium
Mycoplasma hominis
Mycoplasma lipofaciens
Mycoplasma orale
Mycoplasma ovis
Mycoplasma penetrans
Mycoplasma pirum
Mycoplasma pneumoniae
Mycoplasma primatum
Mycoplasma salivarium
Mycoplasmopsis agalactiae
Myroides odoratimimus
Myroides odoratus
Necropsobacter rosorum
Neisseria animaloris
Neisseria bacilliformis
Neisseria canis
Neisseria cinerea
Neisseria elongata
Neisseria flava
Neisseria flavescens
Neisseria gonorrhea
Neisseria gonorrhoeae
Neisseria lactamica
Neisseria macacae
Neisseria meningitidis
Neisseria mucosa
Neisseria perflava
Neisseria pharyngis
Neisseria polysaccharea
Neisseria shayeganii
Neisseria sicca
Neisseria subflava
Neisseria weaveri
Neisseria zoodegmatis
Neorickettsia sennetsu
Nocardia abscessus
Nocardia africana
Nocardia amamiensis
Nocardia amikacinitolerans
Nocardia anaemiae
Nocardia aobensis
Nocardia araoensis
Nocardia arthritidis
Nocardia asiatica
Nocardia asteroides
Nocardia beijingensis
Nocardia blacklockiae
Nocardia brasiliensis
Nocardia concava
Nocardia cyriacigeorgica
Nocardia elegans
Nocardia exalbida
Nocardia farcinica
Nocardia flavorosea
Nocardia harenae
Nocardia higoensis
Nocardia ignorata
Nocardia kroppenstedtii
Nocardia kruczakiae
Nocardia mexicana
Nocardia mikamii
Nocardia neocaledoniensis
Nocardia niigatensis
Nocardia niwae
Nocardia nova
Nocardia otitidiscaviarum
Nocardia paucivorans
Nocardia pneumoniae
Nocardia pseudobrasiliensis
Nocardia takedensis
Nocardia terpenica
Nocardia transvalensis
Nocardia veterana
Nocardia wallacei
Nocardia yamanashiensis
Novosphingobium aromaticivorans
Ochrobactrum anthropi
Ochrobactrum haematophilum
Ochrobactrum intermedium
Ochrobactrum pseudintermedium
Ochrobactrum pseudogrignonense
Oerskovia turbata
Oligella ureolytica
Oligella urethralis
Olsenella profusa
Olsenella uli
Oribacterium sinus
Orientia tsutsugamushi
Oscillibacter ruminantium
Paenibacillus alvei
Paenibacillus barengoltzii
Paenibacillus cineris
Paenibacillus glucanolyticus
Paenibacillus larvae
Paenibacillus macerans
Paenibacillus pasadenensis
Paenibacillus sputi
Paenibacillus thiaminolyticus
Paeniclostridium sordellii
Pandoraea apista
Pandoraea pnomenusa
Pandoraea pulmonicola
